"country","district","segment","lid","official_value","official_price"
"新北市","林口區","南勢埔段南勢埔小段","00080000","12600","2500"
"新北市","林口區","南勢埔段南勢埔小段","00090000","11662","2314"
"新北市","林口區","南勢埔段南勢埔小段","00090001","12600","2500"
"新北市","林口區","南勢埔段南勢埔小段","00090002","9993","1984"
"新北市","林口區","南勢埔段南勢埔小段","00090006","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00090009","12600","2500"
"新北市","林口區","南勢埔段南勢埔小段","00090011","12600","2500"
"新北市","林口區","南勢埔段南勢埔小段","00090012","12600","2500"
"新北市","林口區","南勢埔段南勢埔小段","00090013","12600","2500"
"新北市","林口區","南勢埔段南勢埔小段","00090014","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00100000","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00100001","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00100002","12600","2500"
"新北市","林口區","南勢埔段南勢埔小段","00100003","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00100004","12600","2500"
"新北市","林口區","南勢埔段南勢埔小段","00100005","12600","2500"
"新北市","林口區","南勢埔段南勢埔小段","00100006","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00100007","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00100008","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00100009","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00100010","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00100011","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00100012","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00110000","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00110001","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00110002","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00110003","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00110004","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00110005","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00110006","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00110007","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00110008","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00110009","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00120000","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00120001","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00120002","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00120004","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00120005","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00120006","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00120007","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00120008","9406","1467"
"新北市","林口區","南勢埔段南勢埔小段","00120009","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00120010","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00120011","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00120012","11686","1771"
"新北市","林口區","南勢埔段南勢埔小段","00120013","6503","1080"
"新北市","林口區","南勢埔段南勢埔小段","00130000","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00130001","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00130002","11816","1789"
"新北市","林口區","南勢埔段南勢埔小段","00130003","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00130004","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00130005","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00130006","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00130007","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00130008","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00130009","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00140000","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140001","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140002","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140003","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140004","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140005","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140006","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140007","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140008","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140009","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140010","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140011","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140012","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140013","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140014","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140015","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140016","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140017","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140018","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140019","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140020","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140021","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140022","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140023","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140024","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140025","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140026","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140027","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140028","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140029","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140030","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140031","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140032","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140033","11678","1770"
"新北市","林口區","南勢埔段南勢埔小段","00140034","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140035","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140036","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140037","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140039","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140040","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140041","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140042","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140043","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140044","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140045","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140046","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140047","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140048","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140049","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140050","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140051","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140052","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140053","3100","620"
"新北市","林口區","南勢埔段南勢埔小段","00140054","3100","620"
"新北市","林口區","南勢埔段南勢埔小段","00140055","3100","620"
"新北市","林口區","南勢埔段南勢埔小段","00140056","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140057","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00140058","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00210000","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00210001","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00210002","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00210003","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00220000","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00220001","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00220002","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00220003","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00220004","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00220005","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00220006","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00240000","17000","3400"
"新北市","林口區","南勢埔段南勢埔小段","00240001","17000","3400"
"新北市","林口區","南勢埔段南勢埔小段","00240002","17000","3400"
"新北市","林口區","南勢埔段南勢埔小段","00260001","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00260002","11781","1784"
"新北市","林口區","南勢埔段南勢埔小段","00260004","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00260005","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00260010","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00260012","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00260013","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00260017","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00260018","11900","1800"
"新北市","林口區","南勢埔段南勢埔小段","00270000","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00270001","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00270002","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00270003","3277","650"
"新北市","林口區","南勢埔段南勢埔小段","00270004","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00270005","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00270006","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00270007","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00270008","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00270009","6759","1115"
"新北市","林口區","南勢埔段南勢埔小段","00270010","10297","1586"
"新北市","林口區","南勢埔段南勢埔小段","00270011","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00270012","3485","678"
"新北市","林口區","南勢埔段南勢埔小段","00270013","3200","640"
"新北市","林口區","南勢埔段南勢埔小段","00270014","4173","770"
"新北市","林口區","南勢埔段南勢埔小段","00270015","3200","640"
